도서명,저자,카테고리,내용
로봇 탐구 보고서,정재승,"과학·자연, 상상력","뇌과학자 정재승이 어린이 독자에게 로봇과 인공지능의 원리, 발전, 윤리적 쟁점까지 폭넓게 들려주는 과학 교양서이다."
인공지능 안녕 자두야,박두루미,"과학·자연, 가족·우정",친근한 캐릭터 자두를 통해 인공지능이 무엇이며 어떻게 우리 삶에 들어와 있는지 알기 쉽게 소개하는 어린이 AI 입문서이다.
가상현실,다수,"과학·자연, 상상력","VR과 AR이 어떻게 작동하며 우리 일상과 학습, 산업을 어떻게 바꿔 가는지를 어린이 눈높이로 안내하는 미래 기술 입문서이다."
개념연결 수학사전,최수일,"과학·자연, 성장",초·중등 수학의 핵심 개념들을 따로따로가 아닌 서로 연결된 흐름으로 정리한 사전. 수학을 이해의 학문으로 만나게 해 준다.
수학 플레이어,다수,"과학·자연, 상상력",게임과 퍼즐 형식으로 수학적 사고를 즐겁게 익힐 수 있도록 구성한 어린이 수학 학습서이다.
수학 도둑 시리즈,송도수,"과학·자연, 상상력",만화 형식으로 수학 개념을 흥미진진한 모험에 녹여낸 어린이 학습 만화 시리즈. 게임을 즐기듯 수학을 배운다.
움직이는 태양계,다수,"과학·자연, 상상력","태양계를 구성하는 행성과 위성, 그 움직임을 시각 자료와 함께 살펴보는 어린이 천문 입문서이다."
우주 인문학 여행,다수,"과학·자연, 철학","천문학적 사실과 인문학적 상상력을 함께 엮어, 우주가 인간에게 어떤 의미인지 생각하게 하는 어린이용 우주 교양서이다."
우주로 보내는 편지,다수,"과학·자연, 상상력",우주에 대한 호기심을 따뜻한 편지 형식으로 풀어 내며 어린이의 상상력과 천문 지식을 함께 자극하는 책이다.
과학 100가지,알렉스 프리스,"과학·자연, 성장",과학에 대한 흔한 궁금증 100가지를 골라 짧고 명쾌하게 답해 주는 어린이 과학 입문서이다.
실험 관찰 백과,다수,"과학·자연, 성장",일상에서 직접 해 볼 수 있는 다양한 과학 실험을 소개하며 관찰력과 탐구심을 길러 주는 어린이 실험 안내서이다.
어린이 미술관,아만다 렌쇼,"예술, 역사",시대와 장르를 넘나드는 명화와 조각 작품을 어린이 눈높이로 소개하며 미술 감상의 즐거움을 알려 주는 책이다.
악기 박물관,다수,"예술, 역사","전 세계의 다양한 악기들을 종류와 역사, 소리의 특징과 함께 소개하는 어린이 음악 교양서이다."
음악가 평전,다수,"예술, 역사","바흐, 모차르트, 베토벤 등 음악사를 빛낸 작곡가들의 삶과 작품 세계를 어린이 독자에게 들려주는 평전 시리즈이다."
맞춤법이랑 놀자,정태선,"성장, 가족·우정",헷갈리기 쉬운 우리말 맞춤법을 놀이처럼 익힐 수 있도록 구성한 초등 국어 학습서이다.
어휘력 천재라면,다수,"성장, 가족·우정",다양한 어휘를 재미있는 예시와 활동을 통해 익히고 표현력을 길러 주는 어휘 학습서이다.
훈민정음 이야기,다수,"역사, 성장","한글 창제의 과정과 원리, 세종대왕과 집현전 학자들의 노력을 어린이 눈높이로 풀어 낸 책이다."
공부머리 독서법,최승필,"성장, 예술",입시 위주가 아닌 평생 공부의 힘을 키우는 독서법을 부모와 학생에게 안내한 책. 진짜 공부 머리는 독서로 만들어진다고 말한다.
정리 정돈 한판 승부,다수,"성장, 가족·우정",자기 물건과 시간을 스스로 정리할 줄 아는 습관을 게임처럼 익힐 수 있도록 안내하는 어린이 자기 관리서이다.
꿈의 목록,다수,"성장, 철학",자신이 이루고 싶은 꿈을 구체적으로 적고 실천 계획을 세워 보는 활동을 통해 비전과 자기 주도성을 길러 주는 책이다.
우리는 두 눈으로 세상을 봅니다,바티스트 보쥬,"공감·다양성, 가족·우정",우리 모두가 같은 세상에 살지만 서로 조금씩 다르게 본다는 점을 시적인 그림으로 보여 주는 그림책. 존재와 다양성에 대해 생각하게 한다.
세상에 하나뿐인 너,맥스 루케이도,"성장, 공감·다양성","별의 개수만큼이나 다양한 사람들 속에서, 자신이 얼마나 특별한 존재인지 일깨워 주는 따뜻한 그림책이다."
영화 속 우주인문학 여행,오가희,"과학·자연, 예술","흥미진진한 SF 영화를 매개로 우주와 과학, 그리고 인문학적 상상력을 함께 이야기하는 융합 교양서이다."
미술사의 기초개념,다수,"예술, 역사","양식, 사조, 표현 기법 등 미술사를 이해하는 데 꼭 필요한 기본 개념을 어린 독자에게 친절히 소개하는 책이다."
10대로 살아가기,캐리 루이스 외,"성장, 가족·우정","누구나 잘하는 것이 있고 누구나 어떤 사람이든 될 수 있다는 것이 중요하다. 단지 어떤 사람이 되고 싶은지, 어떻게 하면 될 수 있는지 알아 가면 된다. 이처럼 생각할 것도, 선택할 것도 많은 나이, 10대! 애플트리태일즈의 신간 『10대로 살아가기』는 이러한 10대들의 현명한 선택을 돕는 다양한 활동과 유용한 정보와 꿀팁으로 가득 찬 지침서다."
"1995, 무너지다",이혜령,"사회·정의, 성장","고도 경제 성장과 경제적 풍요에 가려진 1990년대 대형 참사의 비극, 삼풍 백화점 붕괴를 다룬 동화. 1990년대 사회상을 보여 주면서 아이들 눈에 비친 재난은 어떤 모습이며, 아이들은 그 속에서 어떤 것들을 느끼는지를 담아 냈다. 이를 통해 재난의 한가운데에 있는 피해자와 가족들의 무너진 일상을 회복할 수 있는 방법이 무엇인지 함께 생각해 보고자 한다."
가상 화폐부터 로봇 세금까지 경제를 말해요,양서윤,"경제, 사회·정의, 과학·자연","최근 이슈로 떠오르는 다양한 경제 관련 주제에 대해 찬반 토론을 담은 지식 정보책이다. 경제에 대한 거부감이 들지 않도록 아이들이 흥미를 느낄 수 있는 주제를 선정했고, 최근 이슈가 된 주제들도 포함하여 경제 동향을 파악할 수 있다. 찬반 토론을 하는 과정을 통해 자신의 생각을 알맞은 근거를 들어 주장하는 능력인 논리력을 기를 수 있다."
가짜 뉴스 세계에서 살아남기,도안 부이,"성장, 가족·우정","테러 조작설, 지구 평면론, 가짜 뉴스 공장, 백신 거부 운동, 일루미나티 등 인류의 유구한 역사와 함께해 온 가짜 뉴스의 정치적·경제적·역사적·심리적 탄생 배경을 유쾌하게 파고든 교양만화로 그래픽노블. 유쾌한 메타포로 가득한 만화를 통해 가짜 뉴스의 함정에 빠지지 않고, 나만의 주체적인 사고력을 키우는 방법을 찾아보자."
가짜 옹고집이 진짜 옹고집,김혜원,"역사, 철학","고전 소설 <옹고집전>을 어린이들이 읽기 쉽게 새롭게 썼다. 진짜 옹고집이 자신이 진짜라고 우기는 가짜 옹고집과 싸우면서 참된 자기 모습을 찾아가는 여정을 보여 준다. 진짜는 옳은 것, 가짜는 그른 것이라는 이분법적인 사고에서 벗어나, 진짜보다 더 진짜 같은 가짜를 이기고 내 자리를 회복하려면 변화와 성장의 과정을 거쳐야 한다는 메시지를 전하고 있다.."
감당 못 할 전학생,심순,"가족·우정, 성장, 사회·정의, 공감·다양성",전학 온 첫날부터 교실을 뒤흔들고 모두를 혼란 속에 빠뜨리는 서아담의 이야기를 들려준다. 외국에 살다 귀국한 아담은 전학 첫날부터 자리에 앉자마자 두 눈을 꼭 감는 것으로 눈길을 사로잡는다. 온갖 소동을 신나게 펼쳐놓으면서도 비장애 중심주의와 인종차별 같은 묵직한 문제의식을 함께 이야기한다.
거짓말은 이제 그만! 역사 왜곡을 파고파고,이현정.김지아,"역사, 성장",지금 우리는 우리의 역사를 지켜야 하는 상황에 놓여 있다. ‘왜곡’은 사실과 다르게 해석하거나 그릇되게 한다는 뜻이다. 우리는 이 왜곡으로부터 우리의 역사를 지켜 내야 한다. 도대체 누가 왜 우리의 역사를 왜곡하는 걸까?
검의 계승자1-이계에서 온 소년,미쿠니 쓰즈코,"역사, 상상력","인간의 육체를 빼앗아 마음속에 깃든 어둠을 먹고 힘을 키우는 존재, 요괴. 이계와 인간 세상을 가로막는 결계가 파괴되면서, 이계에 사는 요괴들이 인간 세상으로 몰려온다! 요괴를 베는 신검을 손에 들고 이계에서 온 수수께끼의 소년과 함께 요괴와의 전쟁을 시작한다! 옛이야기와 전통문화, 그리고 무협 판타지가 결합된 독특하고 신비로운 민속 판타지가 펼쳐진다!"
게임 체인저 : 기본소득,이선배,"사회·정의, 가족·우정","기후위기, AI로 인한 실업, 소득 불평등, 성차별 문제를 고민하는 다섯 어린이에게 가상 공간에서 만난 토머스 페인 할아버지는 ‘기본소득’을 제시한다. 기본소득은 우리 사회의 게임 체인저가 될 수 있을까? 이 책은 흥미진진한 줄거리로 기본소득을 쉽게 이해하도록 도우며, 나아가 기본소득을 활용해 어떻게 사회 문제를 풀지 스스로 생각하고 토의하도록 이끈다."
겨울나기,이영아,"성장, 가족·우정","작은 방 한 칸에서 아빠와 단둘이 겨울을 나는 태수의 나날을 담아낸 이야기, 『겨울나기』는 전작 『편의점』, 『그 형』을 통해 담담한 문체로 무거운 주제를 다루어 온 이영아 작가의 세 번째 작품이다. 태수의 목소리를 통해 가슴속까지 에이는 겨울의 감각을 오롯이 전달받게 되는 겨울 한복판에서, 다가올 새 계절을 그리는 진실한 겨울 동화."
경제가 뭐니? 머니?,"심소희, 조윤진","경제, 사회·정의, 예술","경제는 현대 사회의 필수 상식이다. 1부에서는 수요, 공급, 세금, 물가, 인플레이션 등 기본 경제 개념에 대해 알려 주고, 2부에서는 구독 경제, 가심비, 팬더스트리, 소비기한, 체리슈머 등 새롭게 등장한 경제 키워드에 대해 살펴본다. 아이들이 던지는 질문에 대답하는 형식으로 구성되었으며 경제 퀴즈가 수록되어 경제 상식을 쉽고 재밌게 익힐 수 있다."
고스트 북,레미 라이,"상상력, 가족·우정","이승과 저승을 넘나드는 좌충우돌 ‘영혼’ 생존기! 유령을 보는 소녀와 유체이탈한 소년의 엇갈린 운명이 펼쳐진다. 저승사자, 아귀, 염라대왕 등 독특하고 오싹한 소재를 귀엽고 아기자기하게 표현하여 어린 독자도 친근하고 재미있게 빠져 들며, 그래픽노블이다."
"공기를 느껴 봐, 태양을 느껴 봐",이자벨 미뇨스 마르팅스,"과학·자연, 사회·정의","공기와 태양에 관한 과학, 신화, 역사를 담은 책. 앞뒤 구별 없이 한쪽은 공기로 시작하고 다른 쪽은 태양으로 시작하여 가운데서 공기와 태양이 만나는 독특한 구성이 눈에 띈다. 두 저자는 어린이들이 이 책을 디딤돌 삼아 책 바깥으로 나가서 공기와 태양을 직접 느낄 수 있도록 관찰하기, 그림 그리기, 글쓰기 등 직접 ‘해 보는’ 다양한 활동을 소개한다."
곽재식의 괴물 과학 수사대 3 한국 괴물의 부활,"곽재식, 강민정","상상력, 과학·자연","산불을 일으키는 ‘지귀’, 사람 없이 움직이는 으스스한 배 ‘타방지신’ 등 현대에 등장한 여섯 한국 괴물을 과학적인 시선으로 파헤쳐 본다. 은박지가 빛과 열을 반사한다는 사실, 딥페이크의 위험성, 전자파가 빛이라는 사실 등 과학 지식을 얻는다. ‘과학으로 본 괴물 이야기’와 ‘호기심 과학 Q&A’에 괴물 이야기를 배경으로 과학 정보를 담았다."
광활한 우주 대탐험 - 행성과 은하계를 넘어,앤 맥레이,"과학·자연, 성장","태양계를 이루는 행성과 소행성, 태양계 끝의 카이퍼대와 오르트 구름, 태양계 밖에 있는 태양계 외 행성들을 소개하고, 제임스 웹 우주망원경을 비롯한 우주탐사에 관한 과학적 정보와 지식도 전달한다. 페이지마다 무료 앱을 통해 NASA와 유럽우주국에서 받은 관련 영상을 게재하여, 과학적 설명에 대한 이해를 높이고 재미와 호기심을 충족시키고자 했다."
괴담특공대 3- 사담초 지하실의 비밀,차율이,"성장, 가족·우정","No.1 마시멜로 픽션 대상을 수상한 차율이 작가의 국내 최초 호러 로맨스 동화. 괴담특공대 시리즈 완결편으로 뱀파이어 휘, 괴담 마니아이자 특공 무술 소녀 세리, 겁 많은 싸움꾼 보임, 인기 유튜버 태오, 네 명의 괴담특공대가 사담초의 괴담 비밀을 파헤치게 되면서 가정에서 여성의 역할, 가정학대 등 가혹한 대우를 받는 아이들의 이야기이다."
